Marque;Gamme;Nom actuel;Nom proposé;Modifié
Buronomic;Astrolite;Plan droit P70;Plan droit P70 Astrolite;oui
Buronomic;Astrolite;Plan droit P80;Plan droit P80 Astrolite;oui
Buronomic;Astrolite;Tirette plumier B-Box;Tirette plumier B-Box Astrolite;oui
Buronomic;Astrolite;VDF Mela;VDF Mela Astrolite;oui
Buronomic;Astrolite Haute;Table haute;Table haute Astrolite Haute;oui
Buronomic;Astrolite Haute;Table haute mobile;Table haute mobile Astrolite Haute;oui
Buronomic;Astrolite RH;Extension;Extension Astrolite RH;oui
Buronomic;Astrolite RH;Plan compact;Plan compact Astrolite RH;oui
Buronomic;Astrolite RH;Plan droit;Plan droit Astrolite RH;oui
Buronomic;Azkar;Fauteuil de direction;Fauteuil de direction Azkar;oui
Buronomic;Batbi;Pouf;Pouf Batbi;oui
Buronomic;Beez;Chaise;Chaise Beez;oui
Buronomic;Beez;Chaise haute;Chaise haute Beez;oui
Buronomic;Beez;Mange-debout rond;Mange-debout rond Beez;oui
Buronomic;Beez;Table ronde;Table ronde Beez;oui
Buronomic;Bero;Chaise;Chaise Bero;oui
Buronomic;Bero;Fauteuil;Fauteuil Bero;oui
Buronomic;Bewall;Cloison fixe droite;Cloison fixe droite Bewall;oui
Buronomic;Bewall;Cloison fixe inclinée;Cloison fixe inclinée Bewall;oui
Buronomic;Bewall;Cloison mobile droite;Cloison mobile droite Bewall;oui
Buronomic;Bewall;Cloison mobile inclinée;Cloison mobile inclinée Bewall;oui
Buronomic;Bewall;Kit de liaison;Kit de liaison Bewall;oui
Buronomic;Bristol;Fauteuil;Fauteuil Bristol;oui
Buronomic;Budget;Siège;Siège Budget;oui
Buronomic;Cheyenne;Fauteuil;Fauteuil Cheyenne;oui
Buronomic;Classif;Armoire à rideau;Armoire à rideau Classif;oui
Buronomic;Classif;Armoire à rideau basse;Armoire à rideau basse Classif;oui
Buronomic;Classif;Châssis télescopique dossiers suspendus;Châssis télescopique dossiers suspendus Classif;oui
Buronomic;Classif;Top armoire à rideau;Top armoire à rideau Classif;oui
Buronomic;Cohésion;Kit de liaison;Kit de liaison Cohésion;oui
Buronomic;Cohésion;Table coworking;Table coworking Cohésion;oui
Buronomic;Coigny;Chaise;Chaise Coigny;oui
Buronomic;Comfort;Caisson hauteur bureau;Caisson hauteur bureau Comfort;oui
Buronomic;Comfort;Caisson hauteur bureau + Top Box;Caisson hauteur bureau + Top Box Comfort;oui
Buronomic;Comfort;Caisson latéral hauteur bureau;Caisson latéral hauteur bureau Comfort;oui
Buronomic;Comfort;Caisson mobile;Caisson mobile Comfort;oui
Buronomic;Comfort;Caisson mobile slim;Caisson mobile slim Comfort;oui
Buronomic;Comfort;Caisson retour hauteur bureau;Caisson retour hauteur bureau Comfort;oui
Buronomic;Comfort;Coussin d'assise caisson mobile;Coussin d'assise caisson mobile Comfort;oui
Buronomic;Comfort;Coussin d'assise caisson slim;Coussin d'assise caisson slim Comfort;oui
Buronomic;Comfort;Kit 4 patins réhausse;Kit 4 patins réhausse Comfort;oui
Buronomic;Eman;Fauteuil de direction;Fauteuil de direction Eman;oui
Buronomic;Eman;Siège opérateur;Siège opérateur Eman;oui
Buronomic;Emeki;Canapé;Canapé Emeki;oui
Buronomic;Emeki;Fauteuil;Fauteuil Emeki;oui
Buronomic;Emeki;Pouf;Pouf Emeki;oui
Buronomic;Envol One;Plan droit;Plan droit Envol One;oui
Buronomic;Envol One;Tiroir métal;Tiroir métal Envol One;oui
Buronomic;Ergonomie;Bras support 1 écran - double extension;Bras support 1 écran - double extension Ergonomie;oui
Buronomic;Ergonomie;Bras support 1 écran - simple extension;Bras support 1 écran - simple extension Ergonomie;oui
Buronomic;Ergonomie;Bras support 2 écrans - simple extension;Bras support 2 écrans - simple extension Ergonomie;oui
Buronomic;Ergonomie;Bras support écran double - 2 bras simple extension;Bras support écran double - 2 bras simple extension Ergonomie;oui
Buronomic;Ergonomie;Lampe de bureau 108 LEDs;Lampe de bureau 108 LEDs Ergonomie;oui
Buronomic;Ergonomie;Lampe de bureau 49 LEDs;Lampe de bureau 49 LEDs Ergonomie;oui
Buronomic;Ergonomie;Poignée de déplacement;Poignée de déplacement Ergonomie;oui
Buronomic;ERGOSTAR ULTRA;Fauteuil;Fauteuil ERGOSTAR ULTRA;oui
Buronomic;Essentiel;Bureau plan compact;Bureau plan compact Essentiel;oui
Buronomic;Essentiel;Bureau plan droit;Bureau plan droit Essentiel;oui
Buronomic;Essentiel;Kit 2 enjoliveurs métal;Kit 2 enjoliveurs métal Essentiel;oui
Buronomic;Fifty-Fifty;Comptoir d'accueil compact;Comptoir d'accueil compact Fifty-Fifty;oui
Buronomic;Galet;Table basse;Table basse Galet;oui
Buronomic;Giro;Table basse;Table basse Giro;oui
Buronomic;Heavy;Fauteuil;Fauteuil Heavy;oui
Buronomic;Ildo;Fauteuil lounge;Fauteuil lounge Ildo;oui
Buronomic;Kanpoa;Chaise;Chaise Kanpoa;oui
Buronomic;Kanpoa;Fauteuil;Fauteuil Kanpoa;oui
Buronomic;Kanpoa;Fauteuil lounge;Fauteuil lounge Kanpoa;oui
Buronomic;Kanpoa;Table cafétéria;Table cafétéria Kanpoa;oui
Buronomic;Kanpoa;Table mange-debout;Table mange-debout Kanpoa;oui
Buronomic;Kanpoa;Tabouret;Tabouret Kanpoa;oui
Buronomic;Khong;Chaise;Chaise Khong;oui
Buronomic;Klik;Chaise;Chaise Klik;oui
Buronomic;Klik;Chaise giratoire;Chaise giratoire Klik;oui
Buronomic;Klik;Siège étudiant;Siège étudiant Klik;oui
Buronomic;Klik;Tabouret;Tabouret Klik;oui
Buronomic;Kulbu;Meuble de rangement;Meuble de rangement Kulbu;oui
Buronomic;Kulbu;Pouf;Pouf Kulbu;oui
Buronomic;Lando;Fauteuil;Fauteuil Lando;oui
Buronomic;Liberty;Fauteuil;Fauteuil Liberty;oui
Buronomic;Loops;Chaise;Chaise Loops;oui
Buronomic;Loops;Chaise haute;Chaise haute Loops;oui
Buronomic;Loops;Fauteuil;Fauteuil Loops;oui
Buronomic;Loria;Chaise;Chaise Loria;oui
Buronomic;Loria;Fauteuil;Fauteuil Loria;oui
Buronomic;Loria;Tabouret;Tabouret Loria;oui
Buronomic;Luma;Fauteuil visiteur;Fauteuil visiteur Luma;oui
Buronomic;Luz;Siège opérateur;Siège opérateur Luz;oui
Buronomic;Maike;Chaise;Chaise Maike;oui
Buronomic;Maike;Tabouret;Tabouret Maike;oui
Buronomic;Partage;Multiposte;Multiposte Partage;oui
Buronomic;Partage;Multiposte Console B-Box;Multiposte Console B-Box Partage;oui
Buronomic;Partage;Plan compact;Plan compact Partage;oui
Buronomic;Partage;Plan droit Console B-Box;Plan droit Console B-Box Partage;oui
Buronomic;Partage;Plan droit P70;Plan droit P70 Partage;oui
Buronomic;Partage;Plan droit P80;Plan droit P80 Partage;oui
Buronomic;Prestige réunion;Extension de table;Extension de table Prestige réunion;oui
Buronomic;Prestige réunion;Table de réunion;Table de réunion Prestige réunion;oui
Buronomic;Proseat;Fauteuil;Fauteuil Proseat;oui
Buronomic;Punta;Canapé;Canapé Punta;oui
Buronomic;Punta;Fauteuil;Fauteuil Punta;oui
Buronomic;Punta;Table basse;Table basse Punta;oui
Buronomic;Quietude;Alcôve;Alcôve Quietude;oui
Buronomic;Quietude;Armoire porte coulissante mélamine;Armoire porte coulissante mélamine Quietude;oui
Buronomic;Quietude;Armoire porte coulissante métal;Armoire porte coulissante métal Quietude;oui
Buronomic;Quietude;Bibliothèque ouverte;Bibliothèque ouverte Quietude;oui
Buronomic;Quietude;Bibliothèque portes basses;Bibliothèque portes basses Quietude;oui
Buronomic;Quietude;Châssis télescopique dossiers suspendus;Châssis télescopique dossiers suspendus Quietude;oui
Buronomic;Quietude;Colonne;Colonne Quietude;oui
Buronomic;Quietude;Combinaison;Combinaison Quietude;oui
Buronomic;Quietude;Dos armoire tissu;Dos armoire tissu Quietude;oui
Buronomic;Quietude;Kit 2 poignées classiques;Kit 2 poignées classiques Quietude;oui
Buronomic;Quietude;Kit 2 poignées design;Kit 2 poignées design Quietude;oui
Buronomic;Quietude;Kit 2 portes battantes;Kit 2 portes battantes Quietude;oui
Buronomic;Quietude;Kit anti-basculement;Kit anti-basculement Quietude;oui
Buronomic;Quietude;Rangement ouvert;Rangement ouvert Quietude;oui
Buronomic;Quietude;Rangement portes battantes;Rangement portes battantes Quietude;oui
Buronomic;Quietude;Tablette mélamine supplémentaire;Tablette mélamine supplémentaire Quietude;oui
Buronomic;Quietude;Tablette métal dossiers suspendus;Tablette métal dossiers suspendus Quietude;oui
Buronomic;Quietude;Top combinaison;Top combinaison Quietude;oui
Buronomic;Quietude;Top rangement mélamine;Top rangement mélamine Quietude;oui
Buronomic;Rencontre;Table polyvalente;Table polyvalente Rencontre;oui
Buronomic;Rencontre;Table polyvalente demi-lune;Table polyvalente demi-lune Rencontre;oui
Buronomic;Retro;Bureau plan compact;Bureau plan compact Retro;oui
Buronomic;Retro;Bureau plan droit;Bureau plan droit Retro;oui
Buronomic;Rhune;Banc;Banc Rhune;oui
Buronomic;Rhune;Canapé;Canapé Rhune;oui
Buronomic;Rhune;Fauteuil;Fauteuil Rhune;oui
Buronomic;Rhune;Méridienne;Méridienne Rhune;oui
Buronomic;Rhune;Table basse;Table basse Rhune;oui
Buronomic;Scott;Fauteuil;Fauteuil Scott;oui
Buronomic;Scott;Fauteuil visiteur;Fauteuil visiteur Scott;oui
Buronomic;Solution Abattante;Demi-lune abattante;Demi-lune abattante Solution Abattante;oui
Buronomic;Solution Abattante;Table abattante;Table abattante Solution Abattante;oui
Buronomic;Solution Pliante;Chariot de transport;Chariot de transport Solution Pliante;oui
Buronomic;Solution Pliante;Table droite pliante;Table droite pliante Solution Pliante;oui
Buronomic;Square;Table basse;Table basse Square;oui
Buronomic;Steno;Siège;Siège Steno;oui
Buronomic;Stricto Direction;Bloc rangement 1 porte à encastrer;Bloc rangement 1 porte à encastrer Stricto Direction;oui
Buronomic;Stricto Direction;Bureau plan droit;Bureau plan droit Stricto Direction;oui
Buronomic;Stricto Direction;Bureau plan droit + Meuble retour;Bureau plan droit + Meuble retour Stricto Direction;oui
Buronomic;Stricto Direction;Extension / retour;Extension / retour Stricto Direction;oui
Buronomic;Tecseat;Chaise;Chaise Tecseat;oui
Buronomic;Tecseat;Chaise Étudiant;Chaise Étudiant Tecseat;oui
Buronomic;Tecseat;Chaise Meeting;Chaise Meeting Tecseat;oui
Buronomic;Tecseat;Tabouret;Tabouret Tecseat;oui
Buronomic;Tecsy;Fauteuil;Fauteuil Tecsy;oui
Buronomic;Tecsy;Fauteuil;Fauteuil Tecsy;oui
Buronomic;Tecsy;Fauteuil Alto;Fauteuil Alto Tecsy;oui
Buronomic;Tecsy;Fauteuil Chic;Fauteuil Chic Tecsy;oui
Buronomic;Tecsy;Fauteuil Platinium;Fauteuil Platinium Tecsy;oui
Buronomic;Tecsy;Fauteuil White;Fauteuil White Tecsy;oui
Buronomic;Tertio;Siège haut;Siège haut Tertio;oui
Buronomic;Torino;Siège haut;Siège haut Torino;oui
Buronomic;Verano;Banc;Banc Verano;oui
Buronomic;Verano;Chaise;Chaise Verano;oui
Buronomic;Verano;Chaise haute;Chaise haute Verano;oui
Buronomic;Verano;Chaise lounge;Chaise lounge Verano;oui
Buronomic;Verano;Mange-debout;Mange-debout Verano;oui
Buronomic;Verano;Pouf;Pouf Verano;oui
Buronomic;Verano;Table basse;Table basse Verano;oui
Buronomic;Verano;Table bistro;Table bistro Verano;oui
Buronomic;Verano;Table haute;Table haute Verano;oui
Buronomic;Verano;Table repas;Table repas Verano;oui
Buronomic;Verano;Tabouret;Tabouret Verano;oui
Buronomic;Wimax;Siège opérateur;Siège opérateur Wimax;oui
Buronomic;Wimax Ergo;Siège ergonomique;Siège ergonomique Wimax Ergo;oui
OfficePro;Galet OfficePro;Table basse;Table basse Galet OfficePro;oui
